"region","score_19","score_18","score_17","score_16","score_15","gdp_19","gdp_18","gdp_17","gdp_16","gdp_15","health_19","health_18","health_17","health_16","health_15","freedom_19","freedom_18","freedom_17","freedom_16","freedom_15","generosity_19","generosity_18","generosity_17","generosity_16","generosity_15","trust_19","trust_18","trust_17","trust_16","trust_15"
"South Asia",4.43433333333333,4.52416666666667,4.56466662883759,4.45783333333333,4.46883333333333,0.623166666666667,0.596666666666667,0.666155884663264,0.628666666666667,0.525496666666667,0.619166666666667,0.492333333333333,0.450120804210504,0.44635,0.53529,0.3745,0.4415,0.381876274943352,0.331573333333333,0.346883333333333,0.212166666666667,0.2235,0.319345086812973,0.319585,0.318336666666667,0.0811666666666667,0.0856666666666667,0.0913466922938825,0.0954483333333333,0.0938833333333333
"Central & Eastern Europe",5.57178571428571,5.47392857142857,5.41832142216819,5.37960714285714,5.34457142857143,1.02242857142857,0.990428571428571,1.09303220042161,1.04854535714286,0.943292857142857,0.8085,0.686535714285714,0.635773366051061,0.631028214285714,0.718178214285714,0.357964285714286,0.398392857142857,0.347348557252969,0.30138,0.359115,0.141214285714286,0.131571428571429,0.183700244374839,0.168605714285714,0.149716428571429,0.06275,0.0626428571428571,0.0803105336381122,0.0887003571428571,0.0878667857142857
"Middle East & North Africa",5.177625,5.235125,5.34618750214577,5.394875,5.2979375,1.01975,1.00675,1.12049443647265,1.093885,1.012404375,0.758375,0.6455625,0.598512062802911,0.60220125,0.688815,0.3046875,0.398375,0.351098285056651,0.292971875,0.322716875,0.1314375,0.14,0.162449677707627,0.154654375,0.158143125,0.0940625,0.118625,0.119841601699591,0.128785625,0.138239375
"Latin America & Caribbean",5.94255,5.93775,5.94740000963211,6.0505,6.1373,0.90895,0.88995,0.994212338328362,0.9591835,0.8541385,0.8168,0.66625,0.623601351678371,0.621809,0.713106,0.4385,0.49765,0.440836854744703,0.412605,0.494143,0.1426,0.13785,0.203500200435519,0.202871,0.215149,0.07485,0.0793,0.091262861341238,0.10873,0.1215025
"Australia & New Zealand",7.2675,7.298,7.29900002479553,7.3235,7.285,1.3375,1.304,1.44506049156189,1.402545,1.29188,1.031,0.893,0.830323249101639,0.84108,0.919965,0.571,0.658,0.607834756374359,0.57492,0.64531,0.331,0.363,0.488852187991142,0.48404,0.455315,0.335,0.3455,0.342000216245651,0.371175,0.392795
"Western Europe",6.8984,6.8291,6.74840002059937,6.7314,6.73935,1.36205,1.32565,1.46293584108353,1.422338,1.3031225,1.01385,0.8958,0.824174782633781,0.8249705,0.9084275,0.48255,0.55955,0.517321386560798,0.4796685,0.552909,0.22105,0.22385,0.305329274386168,0.3067895,0.3041295,0.2212,0.21415,0.22218169067055,0.2358825,0.235896
"Sub-Saharan Africa",4.38032258064516,4.24796774193548,4.13112902641296,4.07483870967742,4.12041935483871,0.466225806451613,0.452612903225806,0.513245439817829,0.47383,0.381393548387097,0.440838709677419,0.279483870967742,0.247857147677531,0.242478709677419,0.299444838709677,0.342225806451613,0.413064516129032,0.367202964040541,0.328524838709677,0.381418387096774,0.188290322580645,0.177806451612903,0.234164267538055,0.225583225806452,0.221463870967742,0.0876451612903226,0.0850967741935484,0.0940501599182044,0.106175161290323,0.111722580645161
"Southeast Asia",5.333375,5.39975,5.44487500190735,5.39675,5.372625,0.95075,0.91575,0.965252861380578,0.92337625,0.81385375,0.769625,0.625875,0.581918198615313,0.58367625,0.69339,0.543375,0.587375,0.534970983862877,0.48617875,0.55225375,0.30625,0.321375,0.449860276654363,0.44807,0.41892875,0.118375,0.12375,0.127590706222691,0.13858875,0.13987375
"North America",7.085,7.107,7.15450000762939,7.254,7.273,1.399,1.364,1.51273185014725,1.474055,1.3604,0.9565,0.8575,0.80442214012146,0.8033,0.88371,0.519,0.6,0.558420717716217,0.527665,0.589505,0.2825,0.306,0.41405925154686,0.429555,0.42958,0.218,0.212,0.211505152285099,0.230985,0.244235
"East Asia",5.5374,5.5182,5.49159994125366,5.4732,5.4918,1.2086,1.1736,1.29573402404785,1.253316,1.12394,0.9612,0.8694,0.811190271377563,0.808886,0.877806,0.3764,0.4626,0.424289506673813,0.399984,0.475508,0.159,0.1564,0.213796800002456,0.217286,0.22031,0.1242,0.1254,0.115334743633866,0.128756,0.136976
